num_reads,num_writes,total_ops,ratio_rw,avg_io_size,avg_elapsed,std_elapsed,rango_tiempo
-0.325045456003854,-0.5546918504270001,-0.4000801438307854,-0.2552090472018318,-0.17743208527807997,-0.4557116223846177,-0.4588488338362078,0.8117182973019055
-0.325045456003854,-0.5757522339011972,-0.40493098831575536,-0.2552090472018318,-0.1806576335845104,-0.4551730795103526,-0.45911388297977024,-0.3697897570450224
-0.325045456003854,-0.5752993224286338,-0.4048266690795194,-0.2552090472018318,-0.1295864520660287,-0.4561817856037119,-0.46009968642594856,-1.3655562875437033
0.2549598257054744,1.1018318604735582,0.46738646508895,0.06112871265817726,-0.1271437314385753,1.1809692199354325,0.6758460272093216,0.8957226306549416
-0.3243606064870224,-0.5762051453737606,-0.4044615517526937,2.512576569606814,-0.1295864520660287,1.3558174922632622,0.4684551962322283,-0.23233303299874664
-0.325045456003854,-0.5759786896374789,-0.4049831479338733,-0.2552090472018318,-0.21257712203356147,-0.4380654241669783,-0.4626994179650375,-1.3655589506175347
0.2432551248723535,1.2191359318674733,0.4845991390678756,0.034493125881249025,-0.12820906325865875,0.9071329193564165,0.5265964378157142,0.9085306294751229
-0.325045456003854,-0.5759786896374789,-0.4049831479338733,-0.2552090472018318,-0.1806576335845104,-0.4556572584351651,-0.4626994179650375,-1.3655589506175347
-0.31682726180187554,0.29066741311254657,-0.19848321980488332,-0.2465326032619928,-0.09721557691163751,-0.4120710885190091,-0.4119886952534131,0.9115523872437488
0.38638867389014503,1.3903364684964306,0.6439467724182328,0.07588561218504886,-0.1278139054646712,0.983473939921712,0.687924544221059,0.9044245775871892
-0.325045456003854,-0.574393499483507,-0.4046180306070476,-0.2552090472018318,-0.16788983820488998,-0.4313877898289395,-0.4532917019779092,-1.3655563895337648
4.562974581810774,2.8102139349826234,4.470063399842818,1.0658216077841467,-0.11840013389295471,1.290240707586852,1.4296185120063956,0.9125221314142049
-0.325045456003854,-0.48245247055314117,-0.38344122565115724,-0.2552090472018318,-0.1474737016316805,-0.434583390224607,-0.3204819445853679,0.8820725376699611
-0.325045456003854,-0.5703172962304367,-0.40367915748092437,-0.2552090472018318,-0.1806576335845104,-0.4529135778612277,-0.45872330940713085,0.7685760366101378
-0.325045456003854,-0.5748464109560705,-0.40472234984328354,-0.2552090472018318,-0.20725720729205294,-0.4479641932964779,-0.45945560827245446,0.44373444929440486
-0.325045456003854,-0.5734876765383803,-0.4044093921345758,-0.2552090472018318,-0.1806576335845104,-0.45817229896127437,-0.4610517803428601,-1.2518280348445743
-0.325045456003854,-0.5263848833917889,-0.39356019156604083,-0.2552090472018318,-0.1806576335845104,-0.4587398642564712,-0.4572190089603199,0.8482167138440159
-0.3247964198159152,-0.5762051453737606,-0.4048266690795194,0.7512584498194937,-0.1806576335845104,0.42784823461640886,0.05088149792796041,-0.14194632779480043
2.6407887652056,1.7676117251417252,2.619544468253955,0.9028849662185762,-0.11933293498050669,2.0877805379339662,2.8700500421751407,0.9122900209209787
-0.325045456003854,-0.5685056503401832,-0.4032618805359807,-0.2552090472018318,-0.13709691993639364,-0.4498328707808032,-0.4512810773834456,-0.8556709961588195
-0.31875729225840077,0.26915411816578605,-0.20505533168774584,-0.24840130428734253,-0.09457991449936985,-0.2268104390126588,0.16283266268202168,0.9100183736137889
-0.325045456003854,-0.5759786896374789,-0.4049831479338733,-0.2552090472018318,-0.19980932665394105,-0.4503312902622278,-0.4626994179650375,-1.3655589506175347
-0.31576885800313587,-0.02614416194553695,-0.27056781204389924,-0.23977433568925693,-0.07221556700880485,-0.39553524507360704,-0.39822713817087735,0.9119248133973227
-0.325045456003854,-0.5757522339011972,-0.40493098831575536,-0.2552090472018318,-0.1870415312743206,-0.4491208429501966,-0.46053573306013484,-0.9122914814720788
-0.325045456003854,-0.5759786896374789,-0.4049831479338733,-0.2552090472018318,-0.1870415312743206,-0.43354642086872847,-0.4626994179650375,-1.3655589506175347
-0.325045456003854,-0.5263848833917889,-0.39356019156604083,-0.2552090472018318,-0.18042549185033546,-0.4081160232496002,-0.06946313181389001,0.882074452816674
-0.325045456003854,-0.5757522339011972,-0.40493098831575536,-0.2552090472018318,-0.1806576335845104,-0.43903378201660326,-0.4617103048656534,-0.16062263833598844
-0.3246719017219459,-0.5508421029102114,-0.3988804726140724,-0.2417295717952962,6.985592128194732,0.17882776457884864,-0.2508465632258836,-1.351234132936303
0.3054519128100541,1.362255957197501,0.5696714762182628,0.04246900017944632,-0.1265419132844378,0.8330199672281963,0.5202730161838882,0.9049693971641988
-0.325045456003854,-0.5723553978569719,-0.404148594043986,-0.2552090472018318,-0.1806576335845104,-0.4544705453841541,-0.45984282185419695,-0.11889289089149939
-0.31502174943931965,0.06307939814944868,-0.2493910070880089,-0.24085895270834673,-0.0827255623215237,-0.3661781049311385,-0.26073369032453153,0.9112478600293541
-0.325045456003854,-0.5757522339011972,-0.40493098831575536,-0.2552090472018318,-0.1295864520660287,-0.45880442144644623,-0.46226668098405693,-1.3655581951355966
-0.3249831969568693,-0.5621648897242958,-0.40174925161055997,-0.2511507105202942,-0.17579371153513118,-0.44201314756981447,-0.4108089290477196,-0.2127287186641779
-0.325045456003854,-0.5759786896374789,-0.4049831479338733,-0.2552090472018318,-0.1806576335845104,-0.44645785886372796,-0.4626994179650375,-1.3655589506175347
-0.325045456003854,-0.5748464109560705,-0.40472234984328354,-0.2552090472018318,-0.1806576335845104,-0.4507347726995715,-0.4622245728476941,-1.082265209582665
-0.325045456003854,-0.5759786896374789,-0.4049831479338733,-0.2552090472018318,-0.1806576335845104,-0.4593692968587274,-0.4626994179650375,-1.3655589506175347
-0.325045456003854,-0.5694114732853099,-0.40347051900845254,-0.2552090472018318,-0.17725288814994497,-0.4553129534219651,-0.4581509012996325,0.7685757230851337
-0.27866246600026345,2.1806669881195266,0.26881479891388943,-0.2398111031144142,-0.021109606136761112,-0.30483434279751004,0.40406908086193877,0.9122072654294885
-0.325045456003854,-0.5669204601862113,-0.402896763209155,-0.2552090472018318,-0.1587032537244314,-0.4467648991575115,-0.45630723854245775,0.8441043574593095
-0.325045456003854,-0.5757522339011972,-0.40493098831575536,-0.2552090472018318,-0.1806576335845104,-0.45008920079982156,-0.46239032012147996,0.6281110023737327
-0.325045456003854,-0.5755257781649156,-0.40487882869763736,-0.2552090472018318,-0.1806576335845104,-0.45641042565154005,-0.46074386002716056,-1.3655572621154033
-0.325045456003854,-0.5759786896374789,-0.4049831479338733,-0.2552090472018318,-0.1806576335845104,-0.4529135778612277,-0.4626994179650375,-1.3655589506175347
-0.325045456003854,-0.5759786896374789,-0.4049831479338733,-0.2552090472018318,-0.1934254289641308,-0.4435527853148531,-0.4626994179650375,-1.3655589506175347
-0.325045456003854,-0.5741670437472254,-0.40456587098892965,-0.2552090472018318,-0.1806576335845104,-0.4481973164824987,-0.4589513525796153,0.7807160685200033
3.5652733538811923,2.7071765749744547,3.610472893258894,0.829178290181342,-0.1210154360860484,1.4327406503424758,1.88094625174634,0.9125632069671749
-0.325045456003854,-0.5750728666923521,-0.4047745094614015,-0.2552090472018318,-0.1806576335845104,-0.4481686243980654,-0.4579822162379504,0.6099325468748776
-0.325045456003854,-0.5757522339011972,-0.40493098831575536,-0.2552090472018318,-0.1806576335845104,-0.4589658144213837,-0.46263759839632596,0.16421922473065195
-0.31726307513076835,-0.44191689375871873,-0.36758470174329844,-0.20217007708055623,0.42812436477385357,-0.4079703547484807,-0.37141323176279295,0.8844258639068794
-0.325045456003854,-0.5757522339011972,-0.40493098831575536,-0.2552090472018318,-0.1870415312743206,-0.45678700925972754,-0.4599793569417313,-1.3655572810024517
-0.325045456003854,-0.5757522339011972,-0.40493098831575536,-0.2552090472018318,-0.1806576335845104,-0.4525907919113527,-0.4626994179650375,-1.3520487086715098
-0.325045456003854,-0.5759786896374789,-0.4049831479338733,-0.2552090472018318,-0.1806576335845104,-0.4543661146356651,-0.4626994179650375,-1.3655589506175347
-0.3169517798958449,-0.028635175044635534,-0.27213260058743793,-0.24168125826337314,-0.07430610723558419,-0.399818076112639,-0.4102301704659066,0.9112149134620373
-0.325045456003854,-0.5757522339011972,-0.40493098831575536,-0.2552090472018318,-0.1806576335845104,-0.43846890660432203,-0.45472469360125345,-1.3655584217801782
-0.325045456003854,-0.5626178011968592,-0.40190573046491385,-0.2552090472018318,-0.1781040745085863,-0.45533178260237445,-0.46055420862634544,0.8252354028013371
-0.29285752871277165,1.4528382517101768,0.08928139335188298,-0.24069052889937576,-0.1289182209266078,-0.4467719595316342,-0.39873670374546955,0.9122437929811915
0.669916373858402,2.4309005767107936,1.1211551185794173,0.04760662170956595,-0.12664017201123726,1.3225529384356045,0.7947617306143726,0.910154575674984
0.48992546902567674,1.5352681397167118,0.7640703729438868,0.0980368648533256,-0.12836059788306523,1.369410418467416,1.8284786887008,0.907108759584042
-0.325045456003854,-0.5757522339011972,-0.40493098831575536,-0.2552090472018318,-0.20300127549884614,-0.4542854181481964,-0.46152484615951883,-1.3655575227566719
-0.325045456003854,-0.5626178011968592,-0.40190573046491385,-0.2552090472018318,-0.1781040745085863,-0.4554877958114807,-0.46053479474374814,0.825235867422729
-0.325045456003854,-0.5759786896374789,-0.4049831479338733,-0.2552090472018318,-0.1806576335845104,-0.43193249111935356,-0.4626994179650375,-1.3655589506175347
-0.325045456003854,-0.5759786896374789,-0.4049831479338733,-0.2552090472018318,-0.1742737358947002,-0.4477490026632279,-0.4626994179650375,-1.3655589506175347
-0.3030680124182601,-0.3810003006989443,-0.34166137153867404,-0.15216872630608705,0.5382480598398457,-0.41418816373575257,-0.4111988017694584,0.904214795362641
-0.325045456003854,-0.5750728666923521,-0.4047745094614015,-0.2552090472018318,-0.1806576335845104,-0.43958251813139076,-0.45098553131505953,-0.05108449244521689
-0.325045456003854,-0.5725818535932535,-0.40420075366210395,-0.2552090472018318,-0.17746568473960528,-0.288373439912453,-0.20947357973665645,-1.1955810937981572
